order_id,customer_name,product,quantity,unit_price,order_date,region,total_price,customer_tier
78,Bob,Tablet,3.0,500.0,2024-04-23,,1500.0,VIP
79,Diana,Laptop,,500.0,2024-02-01,West,,
80,Bob,Tablet,3.0,250.0,2024-02-16,South,750.0,High
81,Bob,Tablet,3.0,750.0,2024-03-26,South,2250.0,VIP
82,Frank,Laptop,,250.0,2024-01-23,,,
83,Diana,Monitor,3.0,250.0,2024-03-06,West,750.0,High
84,Frank,Laptop,1.0,500.0,2024-01-27,North,500.0,Medium
85,Frank,Monitor,3.0,500.0,2024-04-15,,1500.0,VIP
86,Diana,Tablet,2.0,500.0,2024-01-02,South,1000.0,High
87,Alice,Tablet,,500.0,2024-03-30,South,,
88,Frank,Tablet,1.0,500.0,2024-01-17,,500.0,Medium
89,Eve,Phone,,500.0,2024-04-13,West,,
90,Eve,Monitor,2.0,750.0,2024-02-02,South,1500.0,VIP
91,Bob,Phone,2.0,500.0,2024-01-09,West,1000.0,High
92,Eve,Phone,2.0,250.0,2024-02-12,South,500.0,Medium
93,Bob,Laptop,3.0,250.0,2024-04-27,South,750.0,High
94,Alice,Phone,3.0,500.0,2024-02-17,East,1500.0,VIP
95,Diana,Laptop,,250.0,2024-02-08,South,,
96,Diana,Laptop,,500.0,2024-04-02,North,,
97,Diana,Phone,1.0,250.0,2024-02-11,,250.0,Medium
98,Eve,Monitor,1.0,500.0,2024-04-28,,500.0,Medium
99,Alice,Monitor,,250.0,2024-01-26,West,,
100,Eve,Monitor,3.0,500.0,2024-04-08,South,1500.0,VIP
